"Country or Area","Year(s)","Variant","Value"
"Ireland","2059","No change","5584.113"
"Ireland","2059","Momentum","5485.151"
"Ireland","2059","Instant replacement zero migration","5730.935"
"Ireland","2059","Median PI","5788.371"
"Ireland","2059","Upper 80 PI","6136.74"
"Ireland","2059","Lower 80 PI","5470.398"
"Ireland","2059","Upper 95 PI","6322.299"
"Ireland","2059","Lower 95 PI","5306.243"
"Ireland","2058","Medium","5785.861"
"Ireland","2058","High","6388.934"
"Ireland","2058","Low","5207.217"
"Ireland","2058","Constant fertility","5830.264"
"Ireland","2058","Instant replacement","6245.278"
"Ireland","2058","Zero migration","5295.705"
"Ireland","2058","Constant mortality","5545.688"
"Ireland","2058","No change","5589.98"
"Ireland","2058","Momentum","5490.535"
"Ireland","2058","Instant replacement zero migration","5726.408"
"Ireland","2058","Median PI","5785.862"
"Ireland","2058","Upper 80 PI","6123.382"
"Ireland","2058","Lower 80 PI","5478.657"
"Ireland","2058","Upper 95 PI","6304.176"
"Ireland","2058","Lower 95 PI","5322.199"
"Ireland","2057","Medium","5782.303"
"Ireland","2057","High","6360.941"
"Ireland","2057","Low","5224.047"
